season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
2020,Sharjah,03-10-2020,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Capitals,18,0,Shreyas Iyer,Sharjah Cricket Stadium,Vineet Kulkarni,Richard Illingworth,KN Ananthapadmanabhan
2020,Sharjah,04-10-2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,34,0,Trent Boult,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Krishnamachari Srinivasan
2020,Dubai,04-10-2020,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,10,Shane Watson,Dubai International Cricket Stadium,Anil Dandekar,Nitin Menon,Paul Reiffel
2020,Dubai,05-10-2020,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Delhi Capitals,59,0,Axar Patel,Dubai International Cricket Stadium,Nitin Menon,Yeshwant Barde,Paul Reiffel
2020,Abu Dhabi,06-10-2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,57,0,Suryakumar Yadav,Sheikh Zayed Stadium,Virender Sharma,Sundaram Ravi,Chris Gaffaney
2020,Abu Dhabi,07-10-2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,10,0,Rahul Tripathi,Sheikh Zayed Stadium,KN Ananthapadmanabhan,Richard Illingworth,Chettithody Shamshuddin
2020,Dubai,08-10-2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,69,0,Jonny Bairstow,Dubai International Cricket Stadium,Anil Chaudhary,Nitin Menon,Yeshwant Barde
2020,Sharjah,09-10-2020,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,0,Delhi Capitals,46,0,Ravichandran Ashwin,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Chettithody Shamshuddin,Vineet Kulkarni
2020,Abu Dhabi,10-10-2020,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,2,0,Dinesh Karthik,Sheikh Zayed Stadium,Ulhas Gandhe,Chris Gaffaney,Virender Sharma
2020,Dubai,10-10-2020,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,37,0,Virat Kolhi,Dubai International Cricket Stadium,Anil Chaudhary,Paul Reiffel,Anil Dandekar
2020,Dubai,11-10-2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,5,Rahul Tewatia,Dubai International Cricket Stadium,Yeshwant Barde,Paul Reiffel,Nitin Menon
